Num_Circo;Nom;Prenom;Nb_Voix;Prenom_Nom;sexe
026-02;POLLET;Lisette;21566;Lisette_POLLET;femme
026-02;REYNAUD;Gilles;0;;
026-03;POCHON;Marie;29635;Marie_POCHON;femme
026-03;DE LAVERGNE;Célia;0;;
026-04;ANTHOINE;Emmanuelle;27076;Emmanuelle_ANTHOINE;femme
026-04;JOUVET;Pierre;0;;
027-01;LOIR;Christine;18575;Christine_LOIR;femme
027-01;GIPSON;Séverine;0;;
027-02;LEVAVASSEUR;Katiana;17990;Katiana_LEVAVASSEUR;femme
027-02;GOUTTEFARDE;Fabien;0;;
027-03;MAUVIEUX;Kévin;21161;Kévin_MAUVIEUX;homme
027-03;TAMARELLE-VERHAEGHE;Marie;0;;
027-04;BRUN;Philippe;19824;Philippe_BRUN;homme
027-04;SAULIÈRE;Chrystelle;0;;
027-05;HOUSSIN;Timothée;19654;Timothée_HOUSSIN;homme
027-05;OUZILLEAU;François;0;;
028-01;KASBARIAN;Guillaume;22530;Guillaume_KASBARIAN;homme
028-01;GUILLEMAIN;Quentin;0;;
028-02;MARLEIX;Olivier;17957;Olivier_MARLEIX;homme
028-02;NIKOLIC;Aleksandar;0;;
028-03;LAMIRAULT;Luc;16055;Luc_LAMIRAULT;homme
028-03;FLAUNET;Régine;0;;
028-04;VIGIER;Philippe;17674;Philippe_VIGIER;homme
028-04;DE OLIVEIRA;Virginia;0;;
029-01;LE MEUR;Annaïg;25447;Annaïg_LE MEUR;femme
029-01;LEBERT;Grégory;0;;
029-02;LARSONNEUR;Jean-Charles;18127;Jean-Charles_LARSONNEUR;homme
029-02;CADALEN;Pierre-Yves;0;;
029-03;LE GAC;Didier;25169;Didier_LE GAC;homme
029-03;SMOLARZ;Pierre;0;;
029-04;LE FEUR;Sandrine;22872;Sandrine_LE FEUR;femme
029-04;VULPIANI;Sylvaine;0;;
029-05;MELCHIOR;Graziella;25585;Graziella_MELCHIOR;femme
029-05;SARRABEZOLLES;Nathalie;0;;
029-06;THOMIN;Mélanie;23948;Mélanie_THOMIN;femme
029-06;FERRAND;Richard;0;;
029-07;TANGUY;Liliana;22266;Liliana_TANGUY;femme
029-07;BOUIN;Yolande;0;;
029-08;BALANANT;Erwan;23292;Erwan_BALANANT;homme
029-08;LE FLAO;Youenn;0;;
02A-01;MARCANGELI;Laurent;12013;Laurent_MARCANGELI;homme
02A-01;COLONNA;Romain;0;;
02A-02;COLOMBANI;Paul-André;14746;Paul-André_COLOMBANI;homme
02A-02;BOZZI;Valérie;0;;
02B-01;CASTELLANI;Michel;13724;Michel_CASTELLANI;homme
02B-01;MORGANTI;Julien;0;;
02B-02;ACQUAVIVA;Jean-Félix;16777;Jean-Félix_ACQUAVIVA;homme
02B-02;CECCOLI;François-Xavier;0;;
030-01;GILLET;Yoann;17564;Yoann_GILLET;homme
030-01;DUMAS;Françoise;0;;
030-02;MEIZONNET;Nicolas;22595;Nicolas_MEIZONNET;homme
030-02;LACHAUD;Yvan;0;;
030-03;BORDES;Pascale;21619;Pascale_BORDES;femme
030-03;CELLIER;Anthony;0;;
030-04;MEURIN;Pierre;22289;Pierre_MEURIN;homme
030-04;BORD;Arnaud;0;;
030-05;SALA;Michel;22999;Michel_SALA;homme
030-05;LAUNAY;Jean-Marie;0;;
030-06;BERTA;Philippe;16921;Philippe_BERTA;homme
030-06;CADÈNE;Nicolas;0;;
031-01;CLOUET;Hadrien;22140;Hadrien_CLOUET;homme
031-01;BAUDIS;Pierre;0;;
031-02;STAMBACH-TERRENOIR;Anne;26895;Anne_STAMBACH-TERRENOIR;femme
031-02;LAGLEIZE;Jean-Luc;0;;
031-03;VIGNON;Corinne;23780;Corinne_VIGNON;femme
031-03;ROBY;Agathe;0;;
031-04;PIQUEMAL;François;19467;François_PIQUEMAL;homme
031-04;CONSTANS;Marie-Claire;0;;
031-05;PORTARRIEU;Jean-François;23948;Jean-François_PORTARRIEU;homme
031-05;ESPAGNOLLE;Sylvie;0;;
031-06;IBORRA;Monique;27569;Monique_IBORRA;femme
031-06;JOUVE;Fabien;0;;
031-07;BEX;Christophe;23644;Christophe_BEX;homme
031-07;TOUTUT-PICARD;Elisabeth;0;;
031-08;AVIRAGNET;Joël;24191;Joël_AVIRAGNET;homme
031-08;DELCHARD;Loic;0;;
031-09;ARRIGHI;Christine;21748;Christine_ARRIGHI;femme
031-09;MÖRCH;Sandrine;0;;
031-10;FAURE;Dominique;27118;Dominique_FAURE;femme
031-10;ASSIER;Alice;0;;
032-01;CAZENEUVE;Jean-René;18822;Jean-René_CAZENEUVE;homme
032-01;LEVIEUX;Pascal;0;;
032-02;TAUPIAC;David;22203;David_TAUPIAC;homme
032-02;BOURCIER;Maëva;0;;
033-01;CAZENAVE;Thomas;28292;Thomas_CAZENAVE;homme
033-01;CESTARI;Catherine;0;;
033-02;THIERRY;Nicolas;19433;Nicolas_THIERRY;homme
033-02;FABRE;Catherine;0;;
033-03;PRUD'HOMME;Loïc;24066;Loïc_PRUD'HOMME;homme
033-03;ROBERT;Fabien;0;;
033-04;DAVID;Alain;22876;Alain_DAVID;homme
033-04;KARACA;Melissa;0;;
033-05;DE FOURNAS;Grégoire;26263;Grégoire_DE FOURNAS;homme
033-05;MANEIRO;Olivier;0;;
033-06;POULLIAT;Eric;26893;Eric_POULLIAT;homme
