index;prenom;nom;sexe;sortante;circonscription;parti;dissidence;parti_long;twitter
3623;Cédric;STAB;homme;;067-07;DIV;;Divers;
3624;Lou;TOUSSAINT;femme;;067-07;LFI;;La France Insoumise;
3625;Jean-Marie;LORBER;homme;;067-07;RPS;;Régionaliste;
3626;Patrick;HETZEL;homme;checked;067-07;LR;;Les Républicains;
3627;Dino;MARGARITO;homme;;067-07;EAC;;Ecologistes;
3628;Hervé;MORARD;homme;;067-07;Reconquête;;Reconquête !;
3629;Christophe;HECKER;homme;;067-07;DIV;;Divers;
3630;Jean;MEYER;homme;;067-07;LO;;Divers extrême gauche;
3631;Valérie;ESCHENMANN;femme;;067-07;RN;;Rassemblement National;
3632;Florine;WOJTKOWIAK;femme;;067-07;DLF;;Droite souverainiste;
3633;Philippe;SOHM;homme;;067-07;Parti pirate;;Divers;
3634;Stéphanie;KOCHERT;femme;;067-08;Horizons,LRM;;Ensemble ! (Majorité présidentielle);
3635;Sébastien;KRILOFF;homme;;067-08;Reconquête;;Reconquête !;
3636;Samy;AHMED-YAHIA;homme;;067-08;LFI;;La France Insoumise;
3637;Claire;GROSHEITSCH;femme;;067-08;DVE;;Ecologistes;
3638;Ludwig;KNOEPFFLER;homme;;067-08;RN;;Rassemblement National;
3639;Colette;PISSARD;femme;;067-08;SOUV;;Droite souverainiste;
3640;Catherine;GSELL;femme;;067-08;LO;;Divers extrême gauche;
3641;Bruno;JACKY;homme;;067-08;RPS;;Régionaliste;
3642;Anne;SANDER;femme;;067-08;LR;;Divers droite;
3643;Denis;RIEDINGER;homme;;067-09;UDI;;Union des Démocrates et des Indépendants;
3644;Lenny;STEINMETZ;homme;;067-09;DVG;;Divers;
3645;Leilla;WITZMANN;femme;;067-09;LFI;;La France Insoumise;
3646;Stéphanie;ALTHERR;femme;;067-09;Reconquête;;Reconquête !;
3647;Yann;LUCAS;homme;;067-09;LO;;Divers extrême gauche;
3648;Solange;DESCHAMPS;femme;;067-09;Patriotes;;Droite souverainiste;
3649;Laurent;GNAEDIG;homme;;067-09;RN;;Rassemblement National;
3650;Vincent;THIEBAUT;homme;;067-09;Horizons,LRM;;Ensemble ! (Majorité présidentielle);
3651;Maurice;GLUCK;homme;;067-09;RPS;;Régionaliste;
3652;Aïcha;FRITSCH;femme;;068-01;PS;;Parti socialiste;https://twitter.com/AichaFritsch
3653;Cyrielle;COUVAL;femme;;068-01;DLF;;Droite souverainiste;
3654;Paul;MARTIN;homme;;068-01;MdP;;Parti radical de gauche;
3655;Yves;HEMEDINGER;homme;checked;068-01;LR;;Les Républicains;
3656;Brigitte;KLINKERT;femme;;068-01;LRM;;Ensemble ! (Majorité présidentielle);
3657;Laure;GISIE;femme;;068-01;Parti animaliste;;Ecologistes;
3658;Thiébault;ZITVOGEL;homme;;068-01;RPS;;Régionaliste;
3659;Ariane;BISCHOFF BATMA;femme;;068-01;Reconquête;;Reconquête !;
3660;Gilles;SCHAFFAR;homme;;068-01;LO;;Divers extrême gauche;
3661;Steven;SCHOENBECK;homme;;068-01;RN;;Rassemblement National;
3662;Anne;DEFFARGES;femme;;068-02;LO;;Divers extrême gauche;
3663;Vincent;ACKERMANN;homme;;068-02;DIV;;Ecologistes;
3664;Sophie;VANACKERE;femme;;068-02;Patriotes;;Droite souverainiste;
3665;Fabien;BECKER;homme;;068-02;DIV;;Divers gauche;
3666;Nathalie;AUBERT;femme;;068-02;RN;;Rassemblement National;
3667;Hubert;OTT;homme;;068-02;MDM,LRM;;Ensemble ! (Majorité présidentielle);
3668;Abel;MOREAU;homme;;068-02;Parti pirate;;Régionaliste;
3669;Jacques;CATTIN;homme;checked;068-02;LR;;Les Républicains;
3670;Emily;GRAVIER;femme;;068-02;Reconquête;;Reconquête !;
3671;Gabriel;SCHERMANN;homme;;068-02;EAC;;Ecologistes;
3672;Jean-Georges;TROUILLET;homme;;068-02;RPS;;Régionaliste;
3673;Lilian;BOURGEOIS;homme;;068-02;LFI;;La France Insoumise;https://twitter.com/pinkyrad
3674;Géraud;FERRY;homme;;068-03;LO;;Divers extrême gauche;
3675;Jean-Luc;JOHANECK;homme;;068-03;DIV;;Divers;
3676;Louise;KOENIG;femme;;068-03;Parti animaliste;;Ecologistes;
3677;Marc Thierry;STUTZMANN;homme;;068-03;EAC;;Ecologistes;
3678;Christian;ZIMMERMANN;homme;;068-03;RN;;Rassemblement National;
3679;Sandrine;NOEL;femme;;068-03;Reconquête;;Reconquête !;
3680;Didier;LEMAIRE;homme;;068-03;Horizons,LRM;;Ensemble ! (Majorité présidentielle);
3681;Priscille;SILVA;femme;;068-03;LFI;;La France Insoumise;
3682;Patrick;STRIBY;homme;;068-03;LRM;checked;Divers centre;
3683;Thomas;ZELLER;homme;;068-03;LR;;Les Républicains;
3684;Simone;FISCHER;femme;;068-03;DLF;;Droite souverainiste;
3685;Antoine;WAECHTER;homme;;068-03;DVE;;Ecologistes;
3686;Jean-Denis;ZOELLÉ;homme;;068-03;RPS;;Régionaliste;
3687;Aimé;SENSE;homme;;068-04;LO;;Divers extrême gauche;
3688;Sandrine;MAYER;femme;;068-04;LRM;;Ensemble ! (Majorité présidentielle);
3689;Corinne;MORGEN;femme;;068-04;DVE;;Ecologistes;
3690;Raphaël;SCHELLENBERGER;homme;;068-04;LR;;Les Républicains;
3691;Guy;BASCHUNG;homme;;068-04;RPS;;Régionaliste;
3692;Marion;WILHELM;femme;;068-04;RN;;Rassemblement National;
3693;Ophélie;LEFORT;femme;;068-04;Reconquête;;Reconquête !;
3694;Olivier;BITTERLIN;homme;;068-04;DIV;;Ecologistes;
3695;Cédric;ALTHERR;homme;;068-04;Parti animaliste;;Ecologistes;
3696;Martine;LAPOUBLE;femme;;068-04;DVC;;Divers centre;
3697;Guillaume;REFFAY;homme;;068-04;EAC;;Ecologistes;
3698;Sylvie;CHRISTOPHE;femme;;068-04;Patriotes;;Droite souverainiste;
3699;Chrystelle;GAREL;femme;;068-04;LFI;;La France Insoumise;https://twitter.com/ChrysGarel
3700;Olivier;BECHT;homme;checked;068-05;LRM;;Ensemble ! (Majorité présidentielle);
3701;David;DOLUI;homme;;068-05;DVG;;Divers gauche;
3702;Lionel;OCHE;homme;;068-05;Patriotes;;Droite souverainiste;
3703;Alexandre;BARAZI;homme;;068-05;EAC;;Ecologistes;
3704;Florian;COLOM;homme;;068-05;LR;;Les Républicains;
3705;Emmanuel;TAFFARELLI;homme;;068-05;Reconquête;;Reconquête !;
3706;Marie Odile;STEIMER;femme;;068-05;DVE;;Ecologistes;
3707;André;CHAMY;homme;;068-05;DIV;;Divers;
3708;Pierre;PINTO;homme;;068-05;RN;;Rassemblement National;
3709;Salah;KELTOUMI;homme;;068-05;LO;;Divers extrême gauche;
3710;Amalia;NIMESKERN;femme;;068-05;Parti animaliste;;Ecologistes;
3711;Nadia;EL HAJJAJI;femme;;068-05;Génération·s;;Ecologistes;
3712;Régis;BASCHUNG;homme;;068-05;RPS;;Régionaliste;
3713;Hugo;TARANTOLA;homme;;068-06;EAC;;Ecologistes;
3714;Pascal;BLUM;homme;;068-06;DVE;;Ecologistes;
3715;Mireille;KARLEN-DEBÈVE;femme;;068-06;DVC;;Régionaliste;
3716;Romuald;LOURENÇO;homme;;068-06;DLF;;Droite souverainiste;
3717;Stephane;BARTH;homme;;068-06;Parti animaliste;;Ecologistes;
3718;Pascal;BEAUSSART;homme;;068-06;SOUV;;Droite souverainiste;
3719;Nathalie;MULOT;femme;;068-06;LO;;Divers extrême gauche;
3720;Guillaume;SEVIN;homme;;068-06;DVD;;Divers droite;
3721;Laurent;ROTH;homme;;068-06;RPS;;Divers droite;
3722;Sylvain;MARCELLI;homme;;068-06;Reconquête;;Reconquête !;
3723;Yvan;ZILL;homme;;068-06;DVC;;Divers centre;
3724;Léonie;HEBERT;femme;;068-06;LFI;;La France Insoumise;https://twitter.com/Leowish
3725;Anne;GERHART;femme;;068-06;Les Centristes,LR;;Divers centre;
3726;Christelle;RITZ;femme;;068-06;RN;;Rassemblement National;
3727;Bruno;FUCHS;homme;checked;068-06;MDM,LRM;;Ensemble ! (Majorité présidentielle);
3728;Dimitri;BREINER;homme;;068-06;Parti pirate;;Divers;
3729;Anne;PROST;femme;;069-01;LR;;Les Républicains;
3730;Grégory;DAYME;homme;;069-01;DVC;;Parti radical de gauche;
3731;Thomas;RUDIGOZ;homme;checked;069-01;LRM;;Ensemble ! (Majorité présidentielle);
3732;Voliaria;GAGARINE;femme;;069-01;RN;;Rassemblement National;
3733;Celina;VUARIN--APPA PLAZA;femme;;069-01;Résistons;;Divers droite;
3734;Sixtine;BONFILS;femme;;069-01;Reconquête;;Reconquête !;
3735;Aurélie;GRIES;femme;;069-01;LFI;;La France Insoumise;https://twitter.com/AurelieGries
3736;Fanny;COLOMBIER;femme;;069-01;DIV;;Divers;
3737;Patrick;CHARRON;homme;;069-01;Parti animaliste;;Ecologistes;
3738;Jim;BUGNI;homme;;069-01;LO;;Divers extrême gauche;
3739;Pierre;SIMON;homme;;069-02;Reconquête;;Reconquête !;
3740;Philippe;PRIETO;homme;;069-02;PS;checked;Parti socialiste;
3741;Hubert;JULIEN-LAFERRIERE;homme;;069-02;Génération écologie;;Ecologistes;
3742;Claire;VELICITAT;femme;;069-02;Parti animaliste;;Ecologistes;
3743;Laurent;BÖHNKE;homme;;069-02;DVE;;Ecologistes;
3744;Adrien;DRIOLI;homme;;069-02;FGR;;Divers gauche;
3745;Loic;TERRENES;homme;;069-02;LRM;;Ensemble ! (Majorité présidentielle);
3746;Sylvine;SINTÈS;femme;;069-02;RN;;Rassemblement National;
3747;Pascal;COULAN;homme;;069-02;DIV;;Divers;
3748;Delphine;BRIDAY;femme;;069-02;LO;;Divers extrême gauche;
3749;Myriam;FOGEL-JEDIDI;femme;;069-02;LR;;Les Républicains;
3750;Raphaël;ARNAULT;homme;;069-02;NPA;;Régionaliste;
3751;Karima;AISSOU;femme;;069-02;DVE;;Ecologistes;
3752;Muhammad;ALI;homme;;069-02;UDMF;;Divers;
3753;Delphine;RANNOU;femme;;069-02;EXG;;Divers extrême gauche;
3754;Béatrice;DE MONTILLE;femme;;069-03;LR;;Les Républicains;
3755;Marc;CHINAL;homme;;069-03;DIV;;Divers;
3756;Sarah;PEILLON;femme;;069-03;LRM;;Ensemble ! (Majorité présidentielle);
3757;Jean-Noël;DUDUKDJIAN;homme;;069-03;LO;;Divers extrême gauche;
3758;Gérard;VOLLORY;homme;;069-03;RN;;Rassemblement National;
3759;Anaïs;BARRALLON;femme;;069-03;NPA;;Divers extrême gauche;
3760;Nadège;GUILLAUMONT;femme;;069-03;Parti animaliste;;Ecologistes;
3761;Alexis;GEFFRAULT;homme;;069-03;UDMF;;Divers;
3762;Valérie;RAMOS;femme;;069-03;DVE;;Ecologistes;
3763;Olivier;DELUCENAY;homme;;069-03;Reconquête;;Reconquête !;
3764;Marie-Charlotte;GARIN;femme;;069-03;EE-LV;;Ecologistes;https://twitter.com/MC_Garin
3765;Jean-François;AUZAL;homme;;069-03;PRG;;Parti radical de gauche;
3766;Nicolas;TODOROVIC;homme;;069-03;DVE;;Ecologistes;
3767;Florence;DARBON;femme;;069-04;Reconquête;;Reconquête !;
3768;Coralie;LAURENT;femme;;069-04;LO;;Divers extrême gauche;
3769;Nadia;KEBIR;femme;;069-04;DVE;;Ecologistes;
3770;Pascal;BLACHE;homme;;069-04;LR;;Les Républicains;
3771;Véronique;COULAIS;femme;;069-04;RN;;Rassemblement National;
3772;Anne;BRUGNERA;femme;checked;069-04;LRM;;Ensemble ! (Majorité présidentielle);
3773;Juliette;VEL;femme;;069-04;DIV;;Divers;
3774;Malik;BENRAMDANE;homme;;069-04;UDMF;;Divers;
3775;Benjamin;BADOUARD;homme;;069-04;EE-LV;;Ecologistes;https://twitter.com/BBadouard
3776;Yves;DUIGOU;homme;;069-05;RN;;Rassemblement National;
3777;Bastien;JOINT;homme;;069-05;LR;;Les Républicains;
3778;Cédric;LE BEL;homme;;069-05;Reconquête;;Reconquête !;
3779;Stéphanie;BOUARD;femme;;069-05;DVE;;Ecologistes;
3780;Blandine;BROCARD;femme;checked;069-05;MDM,LRM;;Ensemble ! (Majorité présidentielle);
3781;Fabrice;MATTEUCCI;homme;;069-05;PS;;Parti socialiste;
3782;Hélène;RIVIÈRE;femme;;069-05;LO;;Divers extrême gauche;
3783;Mohamed;SLIMANI;homme;;069-05;UDMF;;Divers;
3784;Julie;KABIL;femme;;069-05;Parti animaliste;;Ecologistes;
3785;Katia;BUISSON;femme;;069-06;PRG;;Parti radical de gauche;
3786;Jean-Eric;SENDE;homme;;069-06;LRM;checked;Divers centre;
3787;Paul;RYCKAERT;homme;;069-06;DIV;;Divers;
3788;Laura;WINKELMULLER;femme;;069-06;REG;;Régionaliste;
3789;Clément;CHARLIEU;homme;;069-06;UDI;;Union des Démocrates et des Indépendants;
3790;Grégoire;PRIVOLT;homme;;069-06;EXG;;Divers extrême gauche;
3791;Nadia;BOUHAMI;femme;;069-06;LO;;Divers extrême gauche;
3792;Maude;BOUTAYEB;femme;;069-06;UDMF;;Divers;
3793;Ingrid;ROCHE;femme;;069-06;Parti animaliste;;Ecologistes;
3794;Michèle;MOREL;femme;;069-06;RN;;Rassemblement National;
3795;Pierre;PORTA;homme;;069-06;Reconquête;;Reconquête !;
3796;Zaïr;MEZIANI;homme;;069-06;DVE;;Ecologistes;
3797;Emmanuelle;HAZIZA;femme;;069-06;Horizons,LRM;;Ensemble ! (Majorité présidentielle);
3798;Gabriel;AMARD;homme;;069-06;LFI;;La France Insoumise;https://twitter.com/gabrielamard
3799;Philippe;VIEIRA;homme;;069-06;DIV;;Divers;
3800;Monia;BOUGUERRA;femme;;069-07;UDMF;;Divers;
3801;Geneviève;LUCCHESI;femme;;069-07;Reconquête;;Reconquête !;
3802;Anissa;KHEDHER;femme;;069-07;LRM;;Ensemble ! (Majorité présidentielle);
3803;Abdelkader;LAHMAR;homme;;069-07;LFI;;La France Insoumise;
3804;Alexandre;VINCENDET;homme;;069-07;LR;;Les Républicains;
3805;Alain;VACHON;homme;;069-07;DIV;;Divers;
3806;Nordine;GASMI;homme;;069-07;DVG;;Divers;
3807;Anna;PAPA;femme;;069-07;DVD;;Divers droite;
3808;Izzet;DOGANEL;homme;;069-07;DVC;;Divers centre;
3809;Thomas;SPREUX;homme;;069-07;LO;;Divers extrême gauche;
3810;Stéphane;GOMEZ;homme;;069-07;PS;checked;Parti socialiste;
3811;Tiffany;JONCOUR;femme;;069-07;RN;;Rassemblement National;
3812;Rachid;LOUNES;homme;;069-07;DVE;;Ecologistes;
3813;Charlotte;BOUHILA;femme;;069-07;Parti animaliste;;Ecologistes;
3814;Valérie;LAWO;femme;;069-08;DVE;;Ecologistes;
3815;Pascale;BRAUD;femme;;069-08;FGR;;Divers gauche;
3816;Marie;DE PENFENTENYO DE KERVÉRÉGUIN;femme;;069-08;Reconquête;;Reconquête !;
3817;Tristan;TEYSSIER;homme;;069-08;LO;;Divers extrême gauche;
3818;Noëlle;PELERINS;femme;;069-08;Parti animaliste;;Ecologistes;
3819;Joël;GAUDE;homme;;069-08;DVE;;Ecologistes;
3820;Antoine;DUBOIS;homme;;069-08;RN;;Rassemblement National;
3821;Nathalie;SERRE;femme;;069-08;LR;;Les Républicains;
3822;Cécile;BULIN;femme;;069-08;PCF;;Parti communiste français;
3823;Dominique;DESPRAS;homme;;069-08;MDM,LRM;;Ensemble ! (Majorité présidentielle);
3824;Mathieu;NOVE JOSSERAND;homme;;069-08;Patriotes;;Droite souverainiste;
3825;Rémi;BERTHOUX;homme;;069-09;RN;;Rassemblement National;
3826;Alexandre;PORTIER;homme;;069-09;LR;;Les Républicains;
3827;Mylène;DUNE;femme;;069-09;LFI;;La France Insoumise;
3828;Ambroise;MÉJEAN;homme;;069-09;LRM;;Ensemble ! (Majorité présidentielle);
3829;Delphine;BAÏDA;femme;;069-09;UDMF;;Divers;
3830;Alexandre;CHAVANNE;homme;;069-09;Résistons;;Régionaliste;
3831;Chantal;HELLY;femme;;069-09;LO;;Divers extrême gauche;
3832;Elodie;PERRICHON;femme;;069-09;DVE;;Ecologistes;
3833;Claire;DE GUERNON;femme;;069-09;Reconquête;;Reconquête !;
3834;Maguy;GIRERD;femme;;069-09;DLF;;Droite souverainiste;
3835;Xavier;ULUBAS;homme;;069-10;DVE;;Ecologistes;
3836;Gilles;BOMPARD;homme;;069-10;LO;;Divers extrême gauche;
3837;Gerbert;RAMBAUD;homme;;069-10;DLF;;Droite souverainiste;
3838;Michèle;EDERY;femme;;069-10;PS;;Parti socialiste;
3839;Agnès;MARION;femme;;069-10;Reconquête;;Reconquête !;
3840;Fatiha;CHANELET;femme;;069-10;Résistons;;Divers droite;
3841;Sophie;CRUZ;femme;;069-10;LR;;Les Républicains;
3842;Thomas;GASSILLOUD;homme;checked;069-10;LRM;;Ensemble ! (Majorité présidentielle);
3843;Sébastien;RUIZ;homme;;069-10;Parti animaliste;;Ecologistes;
3844;Charles;ASCARINO;homme;;069-11;Reconquête;;Reconquête !;
3845;Isabelle;BROWNING;femme;;069-11;LO;;Divers extrême gauche;
3846;Christophe;CHIRAT;homme;;069-11;DIV;;Divers;
3847;Alexis;MARTINON;homme;;069-11;Parti animaliste;;Ecologistes;
3848;Moshen;ALLALI;homme;;069-11;UDMF;;Divers gauche;
3849;Paul;VIDAL;homme;;069-11;LR;;Les Républicains;
3850;Michel;DULAC;homme;;069-11;RN;;Rassemblement National;
3851;Sophie;SPENNATO;femme;;069-11;DVE;;Ecologistes;
3852;Abdel;YOUSFI;homme;;069-11;PCF;;Parti communiste français;
3853;Jean-Luc;FUGIT;homme;checked;069-11;LRM;;Ensemble ! (Majorité présidentielle);
3854;Aude;ROSSOLINI;femme;;069-11;DVD;;Divers droite;
3855;Pierre-Henri;COMMUNAL;homme;;069-11;Patriotes;;Droite souverainiste;
3856;Antoine;HEURTEL;homme;;069-12;Parti pirate;;Divers;
3857;Olivier;PIRRA;homme;;069-12;Reconquête;;Reconquête !;
3858;Lucie;CARRON;femme;;069-12;DVE;;Ecologistes;
3859;Samantha;SPENNATO;femme;;069-12;DVE;;Ecologistes;
3860;Cyrille;ISAAC-SIBILLE;homme;checked;069-12;MDM,LRM;;Ensemble ! (Majorité présidentielle);
3861;Jérôme;MOROGE;homme;;069-12;LR;;Les Républicains;
3862;David;AMSELLEM;homme;;069-12;SOUV;;Droite souverainiste;
3863;Cécile;FAURITE;femme;;069-12;LO;;Divers extrême gauche;
3864;Elodie;ANNANI;femme;;069-12;RN;;Rassemblement National;
3865;Jean-François;BAUDIN;homme;;069-12;EE-LV;;Ecologistes;https://twitter.com/jfbib
3866;Céline;BEUZIT;femme;;069-12;Parti animaliste;;Ecologistes;
3867;Arthur;CHAMBON;homme;;069-12;PS;checked;Parti radical de gauche;
3868;Sarah;TANZILLI;femme;;069-13;LRM;;Ensemble ! (Majorité présidentielle);
3869;Victor;PRANDT;homme;;069-13;LFI;;La France Insoumise;https://twitter.com/Prandt_Victor
3870;Didier;BARTHÈS;homme;;069-13;DVE;;Ecologistes;
3871;Michel;PIOT;homme;;069-13;LO;;Divers extrême gauche;
3872;Océane;GIGAREL;femme;;069-13;Reconquête;;Reconquête !;
3873;Christina;PERREIRA;femme;;069-13;DVE;;Ecologistes;
3874;Auriane;CHOMETTE;femme;;069-13;Patriotes;;Droite souverainiste;
3875;Alain;PECHEREAU;homme;;069-13;RN;;Rassemblement National;
3876;Gilles;GASCON;homme;;069-13;LR;;Les Républicains;
3877;Sabrina;BRIZA;femme;;069-13;UDMF;;Divers;
3878;Damien;MONCHAU;homme;;069-14;RN;;Rassemblement National;
3879;Mokrane;KESSI;homme;;069-14;DVC;;Divers centre;
3880;Olivier;MINOUX;homme;;069-14;LO;;Divers extrême gauche;
3881;Camila;SALMI;femme;;069-14;DVE;;Ecologistes;
3882;Farid;OMEIR;homme;;069-14;UDMF;;Divers;
3883;Yalcin;AYVALI;homme;;069-14;DIV;;Divers;
3884;Delphine;PALLUY;femme;;069-14;Parti animaliste;;Ecologistes;
3885;Bruno;ATTAL;homme;;069-14;Reconquête;;Reconquête !;
3886;Idir;BOUMERTIT;homme;;069-14;LFI;;La France Insoumise;
3887;Yves;BLEIN;homme;checked;069-14;LRM;;Ensemble ! (Majorité présidentielle);
3888;Martin;EGRON;homme;;069-14;Patriotes;;Droite souverainiste;
3889;Barbara;BESSOT BALLOT;femme;;070-01;LRM;;Ensemble ! (Majorité présidentielle);
3890;Karine;ERARD;femme;;070-01;Parti animaliste;;Ecologistes;
3891;Cédric;FISCHER;homme;;070-01;LO;;Divers extrême gauche;
3892;Antoine;VILLEDIEU;homme;;070-01;RN;;Rassemblement National;
3893;Dimitri;DOUSSOT;homme;;070-01;LR;;Les Républicains;
3894;Marion;KEMPS HOUVER;femme;;070-01;DLF;;Droite souverainiste;
3895;Philippe;GHILES;homme;;070-01;Reconquête;;Reconquête !;
3896;Sandra;GIRARDOT;femme;;070-01;LFI;;La France Insoumise;
3897;Isabelle;APRO;femme;;070-02;LO;;Divers extrême gauche;
3898;Patrice;GUERAIN;homme;;070-02;LFI;;La France Insoumise;
3899;Sophie;ROCHON;femme;;070-02;Parti animaliste;;Ecologistes;
3900;Christophe;LEJEUNE;homme;checked;070-02;LRM;;Ensemble ! (Majorité présidentielle);
3901;Maurice;MONNIER;homme;;070-02;Reconquête;;Reconquête !;
3902;Emeric;SALMON;homme;;070-02;RN;;Rassemblement National;
3903;Corinne;COUDEREAU;femme;;070-02;UDI;;Union des Démocrates et des Indépendants;
3904;Ludovic;BURI;homme;;070-02;MdR;;Divers droite;
3905;Odile;KOLLER;femme;;071-01;LO;;Divers extrême gauche;
3906;Patrick;MONIN;homme;;071-01;EE-LV;;Ecologistes;https://twitter.com/patrickmonin71
3907;Christophe;JUVANON;homme;;071-01;LR;;Les Républicains;
3908;Manuel;LAUNOY;homme;;071-01;MdR;;Divers droite;
3909;Philippe;VAUCHER;homme;;071-01;SOUV;;Droite souverainiste;
3910;Armand;ROY;homme;;071-01;DLF;;Droite souverainiste;
3911;Aurélien;DUTREMBLE;homme;;071-01;RN;;Rassemblement National;
3912;Myriam;BIZE;femme;;071-01;Reconquête;;Reconquête !;
3913;Benjamin;DIRX;homme;checked;071-01;LRM;;Ensemble ! (Majorité présidentielle);
3914;Josiane;CORNELOUP;femme;checked;071-02;LR;;Les Républicains;
3915;Olivier;DAMIEN;homme;;071-02;RN;;Rassemblement National;
3916;Laurence;ALBERT;femme;;071-02;Reconquête;;Reconquête !;
3917;Chantal;VARÉLA;femme;;071-02;DLF;;Droite souverainiste;
3918;Céline;VINAUGER;femme;;071-02;PCF;;Parti communiste français;
3919;Maud;SICARD;femme;;071-02;Parti pirate;;Divers;
3920;Laurence;GAUTHIER;femme;;071-02;MDM,LRM;;Ensemble ! (Majorité présidentielle);
3921;Pascal;DUSSAUGE;homme;;071-02;LO;;Divers extrême gauche;
3922;Rémy;REBEYROTTE;homme;checked;071-03;LRM;;Ensemble ! (Majorité présidentielle);
3923;Muriel;BERTHELIER;femme;;071-03;DVE;;Ecologistes;
3924;Julie;LUCOTTE;femme;;071-03;LO;;Divers extrême gauche;
3925;Charles;LANDRE;homme;;071-03;LR;;Les Républicains;
3926;Richard;BENINGER;homme;;071-03;LFI;;La France Insoumise;
3927;France;ROBERT;femme;;071-03;DLF;;Droite souverainiste;
3928;Anne;BIGOT;femme;;071-03;Reconquête;;Reconquête !;
3929;Sandrine;BAROIN;femme;;071-03;RN;;Rassemblement National;
3930;Elisabeth;ROBLOT;femme;;071-04;Horizons,LRM;;Ensemble ! (Majorité présidentielle);
3931;Jean;RAFFA;homme;;071-04;Reconquête;;Reconquête !;
3932;Nathalie;SZYCH;femme;;071-04;Patriotes;;Droite souverainiste;
3933;Eric;MICHOUX;homme;;071-04;Les Centristes,LR;;Divers droite;
3934;Valérie;DELOGE;femme;;071-04;RN;;Rassemblement National;
3935;Claude;COURATIER;homme;;071-04;LO;;Divers extrême gauche;
3936;Cécile;UNTERMAIER;femme;checked;071-04;PS;;Parti socialiste;https://twitter.com/ceciluntermaier
3937;Gilles;PLATRET;homme;;071-05;LR;;Les Républicains;
3938;Pascal;DUFRAIGNE;homme;;071-05;LO;;Divers extrême gauche;
3939;Tristan-Ludovic;BATHIARD;homme;;071-05;PRG;;Parti radical de gauche;
3940;Denis;GOUBEAULT;homme;;071-05;Reconquête;;Reconquête !;
3941;Ramazan;CALLI;homme;;071-05;UDMF;;Divers gauche;
3942;Arnaud;SANVERT;homme;;071-05;RN;;Rassemblement National;
3943;Eric;RIBOULET;homme;;071-05;LFI;;La France Insoumise;
3944;Christine;PELLETIER;femme;;071-05;Parti animaliste;;Ecologistes;
3945;Patrick;LARTAUT;homme;;071-05;EXG;;Divers extrême gauche;
3946;Louis;MARGUERITTE;homme;;071-05;LRM;;Ensemble ! (Majorité présidentielle);
3947;Sonia;LE THEIX;femme;;071-05;DLF;;Droite souverainiste;
3948;Patricia;COLLET;femme;;072-01;Patriotes;;Droite souverainiste;
3949;Edwige;PICOULEAU;femme;;072-01;RN;;Rassemblement National;
3950;Yves;CORTÉS;homme;;072-01;DVD;;Union des Démocrates et des Indépendants;
3951;Stéphane;FOUÉRÉ;homme;;072-01;FGR;;Divers gauche;https://twitter.com/stephane_fouere
3952;Julie;DELPECH;femme;;072-01;LRM;;Ensemble ! (Majorité présidentielle);
3953;Brigitte;DUJARDIN;femme;;072-01;Reconquête;;Reconquête !;
3954;Fabienne;LABRETTE-MÉNAGER;femme;;072-01;LR;;Les Républicains;
3955;Dylan;BÉNAUD;homme;;072-01;PS;checked;Parti socialiste;
3956;Sylvie;MAILLET;femme;;072-01;LO;;Divers extrême gauche;
3957;Ghislaine;BONNET;femme;;072-01;LFI;;La France Insoumise;https://twitter.com/Bonnetghislain1
3958;François;LE FORESTIER;homme;;072-02;LR;;Les Républicains;
3959;Alexandra;MONET;femme;;072-02;Horizons,LRM;;Ensemble ! (Majorité présidentielle);
3960;Vincent;PICAVEZ;homme;;072-02;EXG;;Divers extrême gauche;
3961;Marylin;ZBIROU;femme;;072-02;EAC;;Ecologistes;
3962;Serge;JOVER;homme;;072-02;EXG;;Divers extrême gauche;
3963;Olivier;BESLIER;homme;;072-02;Reconquête;;Reconquête !;
3964;Muriel;CABARET;femme;;072-02;PS;checked;Parti socialiste;
3965;Marietta;KARAMANLI;femme;checked;072-02;PS;;Parti socialiste;https://twitter.com/MKaramanli72
3966;Eric;TROCHON;homme;;072-02;DLF;;Droite souverainiste;
3967;Angéline;FURET;femme;;072-02;RN;;Rassemblement National;
3968;Thomas;HUBERT;homme;;072-02;LO;;Divers extrême gauche;
3969;Dominique;LELOUP;femme;;072-03;LFI;;La France Insoumise;
3970;Jérôme;POISSON;homme;;072-03;Patriotes;;Droite souverainiste;
3971;Maryse;BRUTOUT;femme;;072-03;LO;;Divers extrême gauche;
3972;Béatrice;LATOUCHE;femme;;072-03;LR;;Les Républicains;
3973;Eric;MARTINEAU;homme;;072-03;MDM,LRM;;Ensemble ! (Majorité présidentielle);
3974;Bernadette;COUDRAIN;femme;;072-03;Reconquête;;Reconquête !;
3975;Laurent;BRANCHU;homme;;072-03;PS;checked;Parti socialiste;
3976;Henri;NOËL;homme;;072-03;DIV;;Divers;
3977;Bruno;PINÇON;homme;;072-03;RN;;Rassemblement National;
3978;David;DALIBERT;homme;;072-04;Parti animaliste;;Ecologistes;
3979;Joachim;LE FLOCH-IMAD;homme;;072-04;DVC,LRM;;Ensemble ! (Majorité présidentielle);
3980;Emmanuel;FRANCO;homme;;072-04;LR;;Les Républicains;
3981;Didier;BARBET;homme;;072-04;DIV;;Divers;
