index;prenom;nom;sexe;sortante;circonscription;parti;dissidence;parti_long;twitter
5512;Catherine;DEHAY;femme;;093-07;DVE;;Ecologistes;
5513;Marie-Laure;BROSSIER;femme;;093-07;LRM;;Ensemble ! (Majorité présidentielle);
5514;Aurélie;JOCHAUD;femme;;093-07;LO;;Divers extrême gauche;
5515;Myriam;MEHIDI;femme;;093-07;Reconquête;;Reconquête !;
5516;Madina;BOUCABEILLE;femme;;093-07;UDI;;Union des Démocrates et des Indépendants;
5517;Christel;KEISER;femme;;093-07;EXG;;Divers extrême gauche;
5518;Jeanne;MONTAGNON;femme;;093-07;DVE;;Ecologistes;
5519;Choukri;YONIS;femme;;093-07;DVG;0;Parti socialiste;
5520;Karim;YAGOUBI-MOROCHO;homme;;093-07;RN;;Rassemblement National;
5521;Alexis;CORBIÈRE;homme;;093-07;LFI;;La France Insoumise;
5522;Grégory;TOBEILEM;homme;;093-08;LO;;Divers extrême gauche;
5523;Sébastien;JOLIVET;homme;;093-08;RN;;Rassemblement National;
5524;Hugo;GUIRAUDOU;homme;;093-08;FGR;;Divers gauche;
5525;Corinne;FOURNIER;femme;;093-08;DVE;;Ecologistes;
5526;Fatiha;KELOUA HACHI;femme;;093-08;PS;;Parti socialiste;
5527;Sylvio;VALENTE;homme;;093-08;Reconquête;;Reconquête !;
5528;Geoffrey;CARVALHINHO;homme;;093-08;LR;;Les Républicains;
5529;Franck;ZEIGER;homme;;093-08;Patriotes;;Droite souverainiste;
5530;Sylvie;CHARRIERE;femme;;093-08;LRM;;Ensemble ! (Majorité présidentielle);
5531;Jean-Christophe;FOURNIER;homme;;093-08;NPA;;Divers extrême gauche;
5532;Eddy;CYRILLA;homme;;093-08;DVE;;Ecologistes;
5533;Eric;KOZELKO;homme;;093-09;RN;;Rassemblement National;
5534;Aurélie;TROUVÉ;femme;;093-09;LFI;;La France Insoumise;https://twitter.com/TrouveAurelie
5535;Robenson;PIERRE;homme;;093-09;LR;;Les Républicains;
5536;Alexandre;SAADA;homme;;093-09;MDM,LRM;;Ensemble ! (Majorité présidentielle);
5537;Laure;GARRIGUE;femme;;093-09;Reconquête;;Reconquête !;
5538;Carole;FITOUSSI;femme;;093-09;DVE;;Ecologistes;
5539;Jean-Paul;LEFEBVRE;homme;;093-09;FGR;;Divers gauche;https://twitter.com/jpaullefebvre
5540;Aloïs;LANG-ROUSSEAU;homme;;093-09;DVE;;Ecologistes;
5541;Atmane;BADACHE;homme;;093-09;DIV;;Divers;
5542;Héléna;PETRZLJAN;femme;;093-09;UDI;;Union des Démocrates et des Indépendants;
5543;Jean-Paul;BUROT;homme;;093-09;LO;;Divers extrême gauche;
5544;Cécile;ODOYER;femme;;093-09;EXG;;Divers extrême gauche;
5545;Sylvie;GUY;femme;;093-10;EXG;;Divers extrême gauche;
5546;Jean-Ludwig;MALARD;homme;;093-10;DVE;;Ecologistes;
5547;Alain;RAMADIER;homme;checked;093-10;LR;;Les Républicains;
5548;Leïla;ABDELLAOUI;femme;;093-10;DVC;;Divers centre;
5549;Elhame;HIMMI;femme;;093-10;UDMF;;Divers;
5550;Mohamed;BOUNOUA;homme;;093-10;DVC;;Divers centre;
5551;Abdelssamad;SRAI;homme;;093-10;DIV;;Divers;
5552;Sonia;BAKHTI-ALOUT;femme;;093-10;Horizons,LRM;;Ensemble ! (Majorité présidentielle);
5553;Nadège;ABOMANGOLI;femme;;093-10;LFI;;La France Insoumise;https://twitter.com/abomangoli
5554;Gaëtan;MINARDI;homme;;093-10;LO;;Divers extrême gauche;
5555;Praince Germain;LOUBOTA;homme;;093-10;Reconquête;;Reconquête !;
5556;Pauline;CHATEAU;femme;;093-10;RN;;Rassemblement National;
5557;Ton Tona;KHUL;homme;;093-11;DVD;;Divers droite;
5558;François;MERETREL;homme;;093-11;UDMF;;Divers;
5559;Lynda;AÏT MESGHAT;femme;;093-11;UDI;;Union des Démocrates et des Indépendants;
5560;Jean-Pierre;LEVERRIER;homme;;093-11;DVE;;Ecologistes;
5561;Isabelle;COUFFIN-GUÉRIN;femme;;093-11;LO;;Divers extrême gauche;
5562;Emmanuel;NAUD;homme;;093-11;LR;;Les Républicains;
5563;Clémentine;AUTAIN;femme;checked;093-11;LFI;;La France Insoumise;https://twitter.com/Clem_Autain
5564;Micheline;GUILLEMETTE;femme;;093-11;EXG;;Divers extrême gauche;
5565;Hakima;OUARET;femme;;093-11;LRM;;Ensemble ! (Majorité présidentielle);
5566;Renée;JOLY;femme;;093-11;RN;;Rassemblement National;
5567;Virginie;DE CARVALHO;femme;;093-11;PCF;checked;Parti communiste français;
5568;Fabrice;SCAGNI;homme;;093-11;DVC;;Divers centre;
5569;Guillemette;DUSAUSOY;femme;;093-11;Reconquête;;Reconquête !;
5570;Malik;HOUHA;homme;;093-12;DVE;;Ecologistes;
5571;Sophie;CICERO;femme;;093-12;EXG;;Divers extrême gauche;
5572;Mariam;CISSE;femme;;093-12;REG;;Régionaliste;
5573;Ludovic;TORO;homme;;093-12;UDI;;Union des Démocrates et des Indépendants;
5574;Bahri;CESUR;homme;;093-12;DIV;;Divers;
5575;Pierre Marie;SALLE;homme;;093-12;Reconquête;;Reconquête !;
5576;Jean-François;PERIER;homme;;093-12;RN;;Rassemblement National;
5577;Amal;AISSAOUI;femme;;093-12;LO;;Divers extrême gauche;
5578;Jérôme;LEGAVRE;homme;;093-12;LFI;;La France Insoumise;
5579;Stéphanie;KLEBEK;femme;;093-12;FGR;;Divers gauche;
5580;Stéphane;TESTÉ;homme;checked;093-12;LRM;;Ensemble ! (Majorité présidentielle);
5581;Arnold;VOILLEMIN;homme;;093-12;SOUV;;Droite souverainiste;
5582;Pierre;ROBIN;homme;;094-01;Parti animaliste;;Ecologistes;
5583;Frédéric;DESCROZAILLE;homme;checked;094-01;LRM;;Ensemble ! (Majorité présidentielle);
5584;Mirela;BRATULESCU;femme;;094-01;Reconquête;;Reconquête !;
5585;Thierry;GUINTRAND;homme;;094-01;LFI;;La France Insoumise;
5586;Almash;PATEL;femme;;094-01;LO;;Divers extrême gauche;
5587;Pierre-Louis;LAUZET;homme;;094-01;DVG;;Divers gauche;
5588;Amina;BOUATLAOUI;femme;;094-01;DVE;;Ecologistes;
5589;Laurent;JOLLY;homme;;094-01;RN;;Rassemblement National;
5590;Françoise;LE PARC;femme;;094-01;PCF;checked;Parti communiste français;
5591;Germain;ROESCH;homme;;094-01;LR;;Les Républicains;
5592;Géraldine;TELLE;femme;;094-01;DIV;;Divers;
5593;Clémence;GUETTÉ;femme;;094-02;LFI;;La France Insoumise;https://twitter.com/Clemence_Guette
5594;Josefa;TORRES;femme;;094-02;LO;;Divers extrême gauche;
5595;Françoise;ROUSSEL;femme;;094-02;EXG;;Divers extrême gauche;
5596;Eloïse;LAVAL;femme;;094-02;Reconquête;;Reconquête !;
5597;Elsa;DERANSART;femme;;094-02;FGR;;Divers gauche;
5598;Céline;SUIN;femme;;094-02;Parti animaliste;;Ecologistes;
5599;Salika;AMARA;femme;;094-02;DIV;;Divers;
5600;Antoine;GHAYE;homme;;094-02;RN;;Rassemblement National;
5601;Frédéric;DRUART;homme;;094-02;LR;;Les Républicains;
5602;Coline;LARDEUX;femme;;094-02;PRG;;Parti radical de gauche;
5603;Jean François;MBAYE;homme;;094-02;LRM;;Ensemble ! (Majorité présidentielle);
5604;Taieb;BOURIACHI;homme;;094-02;DIV;;Divers;
5605;Jean-Baptiste;ABRIBAT;homme;;094-03;Reconquête;;Reconquête !;
5606;Tom;BRY-CHEVALIER;homme;;094-03;Parti animaliste;;Ecologistes;
5607;Guillaume;POIRET;homme;;094-03;PRG;;Divers extrême gauche;
5608;Louis;BOYARD;homme;;094-03;LFI;;La France Insoumise;https://twitter.com/l_boyard
5609;Blueez;ORKIDEZ;homme;;094-03;LFI;checked;La France Insoumise;
5610;Lucien;NOAILE;homme;;094-03;LO;;Divers extrême gauche;
5611;Naoual;HAMZAOUI;femme;;094-03;MdR;;Divers droite;
5612;Laurent;SAINT-MARTIN;homme;checked;094-03;LRM;;Ensemble ! (Majorité présidentielle);
